"empresa","comunidad"
"STLD",1
"FSLR",2
"ACGL",3
"TRGP",4
"EQT",5
"PCG",6
"CSGP",7
"INVH",8
"KDP",9
"ON",10
"VICI",11
"WBD",12
"CPT",8
"MOH",13
"NDSN",14
"FDS",15
"SEDG",16
"EPAM",17
"BRO",18
"MTCH",19
"TECH",20
"MRNA",21
"CRL",22
"PTC",23
"CZR",24
"GNRC",25
"NXPI",10
"MPWR",10
"TRMB",26
"ENPH",16
"TSLA",27
"POOL",28
"ETSY",29
"TER",10
"BIO",30
"TDY",31
"TYL",32
"WST",33
"DPZ",34
"DXCM",35
"CARR",36
"OTIS",37
"IR",38
"PAYC",39
"LYV",40
"STE",41
"ZBRA",42
"ODFL",43
"WRB",3
"NOW",44
"LVS",45
"NVR",46
"CDW",47
"IEX",48
"LDOS",49
"TMUS",50
"MKTX",51
"AMCR",52
"CTVA",53
"DD",54
"DOW",54
"WAB",38
"ATO",55
"TFX",56
"CE",54
"FANG",57
"LW",58
"JKHY",59
"KEYS",60
"FTNT",61
"ROL",62
"ANET",63
"CPRT",64
"BR",65
"EVRG",55
"MSCI",66
"TTWO",67
"HII",68
"NCLH",69
"CDNS",10
"SBAC",70
"IQV",22
"AOS",71
"MGM",24
"PKG",72
"RMD",73
"BKR",74
"ALGN",75
"HLT",24
"EG",3
