"","STLD","FSLR","ACGL","TRGP","EQT","PCG","CSGP","INVH","KDP","ON","VICI","WBD","CPT","MOH","NDSN","FDS","SEDG","EPAM","BRO","MTCH","TECH","MRNA","CRL","PTC","CZR","GNRC","NXPI","MPWR","TRMB","ENPH","TSLA","POOL","ETSY","TER","BIO","TDY","TYL","WST","DPZ","DXCM","CARR","OTIS","IR","PAYC","LYV","STE","ZBRA","ODFL","WRB","NOW","LVS","NVR","CDW","IEX","LDOS","TMUS","MKTX","AMCR","CTVA","DD","DOW","WAB","ATO","TFX","CE","FANG","LW","JKHY","KEYS","FTNT","ROL","ANET","CPRT","BR","EVRG","MSCI","TTWO","HII","NCLH","CDNS","SBAC","IQV","AOS","MGM","PKG","RMD","BKR","ALGN","HLT","EG"
"STLD",1,0.292735078226234,0.44964454502815,0.469926030415999,0.306516791016008,0.232956576520457,0.309323139445734,0.342561719579048,0.188627149023607,0.415110266654643,0.386259023165528,0.292030933474283,0.331495759897222,0.265300691735219,0.457964527521478,0.338068038017283,0.278242729569925,0.17558066069085,0.415442333997906,0.22993779606792,0.253370263889243,0.0650265587933507,0.297449610466675,0.323351461919691,0.414181082917426,0.341234311126454,0.448963678683762,0.351432280163186,0.42993992045474,0.233881689242803,0.215155193509026,0.287486180680348,0.21796171843191,0.366004142713386,0.204511065121586,0.443551825062618,0.231206411800659,0.222987005214512,0.147198370222723,0.181273004363166,0.388859411412886,0.423912168217104,0.556955787942591,0.255910871097126,0.357785654416464,0.364194868071231,0.370023219219183,0.400061634985885,0.46060305823033,0.224211359653454,0.372301176070303,0.390856173718244,0.460415290842097,0.469272126863972,0.325430761313548,0.258541115215726,0.123581172575086,0.485633770488361,0.47981917482562,0.572368446048735,0.618404969618329,0.573856202950965,0.279050047223723,0.294568982227193,0.608620685860566,0.45014118494708,0.393560703434605,0.279608251539942,0.351558840483044,0.240612047613227,0.243457532007015,0.277829536107266,0.365200739259943,0.412918273465689,0.238802213587748,0.321560484975537,0.11957946052939,0.448532384468779,0.367849223315841,0.280836542494674,0.20132238370395,0.389603313370351,0.451858804910203,0.461468612100208,0.564518737000871,0.236789812439613,0.475478570702639,0.302054352761985,0.442149563726769,0.422901893788718
"FSLR",0.292735078226234,1,0.241925656553143,0.255907151628278,0.176440977729691,0.182978024040756,0.304485728308535,0.2785747774706,0.136223008806224,0.394355350060411,0.277787374312247,0.170036405120122,0.240953919921967,0.187399987687884,0.335746628408735,0.284261871005855,0.591410562308748,0.203849496009251,0.23365351941441,0.266393146920759,0.306402550106911,0.169331765948377,0.301792185300057,0.383252873397999,0.291147737141442,0.403154365329104,0.420657591140908,0.395466207186027,0.371907270776738,0.594532266172953,0.358049889106941,0.247396313575714,0.315551965558647,0.401487883011315,0.2215474925654,0.266799246778263,0.308278367171489,0.219622949440403,0.166208902297742,0.284082791812101,0.257824982982599,0.229299538542056,0.327489568696793,0.334535684617704,0.254127854826992,0.246437947818666,0.358684213916704,0.304807484870591,0.203118240872965,0.312214081509653,0.227206714944044,0.268968838522408,0.326260647967119,0.28347849174436,0.163468278389546,0.227253810506905,0.189701176462823,0.248085874642772,0.238036829699484,0.286856201073496,0.263354402283951,0.323614371385029,0.121638286997244,0.214821906874003,0.309426586361214,0.235887330091627,0.198040220885245,0.141053655968721,0.327065610693702,0.234198013752311,0.230444266643479,0.262846225870391,0.291458837695317,0.288836080288895,0.154131151447881,0.30411138271232,0.201108641425673,0.192183711338896,0.280721135225462,0.348804444607143,0.219341669695852,0.302630496979781,0.249323208338391,0.279713868229359,0.209254209557762,0.235975486880789,0.219013486272287,0.299194565035912,0.279348800096153,0.19649559681727
"ACGL",0.44964454502815,0.241925656553143,1,0.420177440905674,0.242029991875451,0.318320774798398,0.344898119091573,0.429553020852168,0.256759517659747,0.32899906086546,0.484054409224158,0.269540658149104,0.443179373903326,0.29688437874752,0.474274743953911,0.402846428677177,0.190869858590501,0.165279603387753,0.577776272443103,0.148696753446547,0.181576720293598,0.014342780316872,0.29267931786474,0.330509767689333,0.35139952438784,0.255688448609644,0.377213023473274,0.25363270372905,0.390011649073054,0.159760465783559,0.138559888476205,0.198575325257747,0.0771535861548241,0.294302362039419,0.116711943974448,0.489918584860794,0.186069952309378,0.154791860817602,0.10441662563409,0.230164007813868,0.363008532295848,0.434437439584514,0.527593956239865,0.278923174660234,0.421030173381798,0.407164162965048,0.335801301490031,0.298024007447009,0.758909682586057,0.226139243342108,0.368116675834623,0.413240034549133,0.497740880150043,0.436688349545992,0.413139320741836,0.316377071588355,0.146473446001821,0.498424740570662,0.412126520125767,0.531125880014063,0.474910144436169,0.562895468194201,0.428849690968702,0.381612242890964,0.507030858978055,0.385653017305841,0.460027831966099,0.310788349496315,0.288634808942364,0.195497543871111,0.276376453341908,0.285270339306482,0.43000561372957,0.415957394734075,0.460957162242213,0.326221053964795,0.052439261658049,0.481887766651722,0.376964051953637,0.278555778132922,0.226071133000804,0.416593107102933,0.422903147491748,0.479675494551943,0.519331856930039,0.245746664606515,0.45746954152191,0.290169171921394,0.488047992834257,0.812200033877868
"TRGP",0.469926030415999,0.255907151628278,0.420177440905674,1,0.44053198353706,0.269309545608625,0.220697628905646,0.338849003857763,0.167550726639407,0.404121079569742,0.438504918564266,0.263700198562056,0.325648741294346,0.17734443431946,0.335578474768332,0.227684062908536,0.250098669181015,0.128767808524115,0.33937621136649,0.224032498897942,0.221910108139407,0.0645411827577314,0.257159051358117,0.328555553553952,0.509733186392434,0.25705343133596,0.36999509058111,0.24534977248122,0.418718005626802,0.274023402846155,0.220382672386568,0.104947332528712,0.139421819481447,0.286274215137342,0.133037371730752,0.467334403058871,0.161259933268133,0.146320024027069,0.0111122677370636,0.16825321181931,0.311363001994513,0.312965414322797,0.504739151714177,0.286133437057121,0.448631721828185,0.256621226878929,0.33579946793855,0.295547633717865,0.435537012052797,0.195388508683201,0.37882258360791,0.287170562724421,0.389397550481625,0.32981381306799,0.307675023857263,0.228377792757082,0.0916551911364115,0.409367142071613,0.448677842085254,0.524827400979072,0.600639465268562,0.535221543105877,0.249031845582032,0.330139246799907,0.555417657535288,0.697301464528805,0.380565703315523,0.196998009115561,0.248910607294777,0.223288880740602,0.131904726252541,0.228489755079094,0.286571083784649,0.300752987030583,0.224231240040978,0.259834797101443,0.0956239034661888,0.401835930735772,0.488415211885502,0.205253170847258,0.135821468892768,0.369747856655987,0.314783388178268,0.504885935367836,0.363747519619545,0.148636247356035,0.654128753221703,0.31115311656016,0.488339057144213,0.402218027117784
"EQT",0.306516791016008,0.176440977729691,0.242029991875451,0.44053198353706,1,0.136263683958533,0.118496016037659,0.194168023888449,0.116902811561793,0.234954793187374,0.261682356621496,0.21338102239107,0.178225487740089,0.175447150652511,0.245166872418759,0.143081482875147,0.169337734014647,0.0548523158322912,0.186836111127486,0.171806313317972,0.0954434654362954,0.0965247037124725,0.177257698910057,0.207480814930248,0.236212584568134,0.194456851432337,0.213831283969782,0.195709019116719,0.201164659750359,0.136163971240686,0.192387315382809,0.102552589952537,0.16141705823519,0.183220263429376,0.12174383021059,0.239785914899989,0.103246066582713,0.10800993228054,0.032035389675787,0.0921353639721039,0.187235790637378,0.173226226422127,0.284130166220968,0.123927579816358,0.154637053938969,0.210175546598471,0.242115631572351,0.128480517295806,0.252706606389848,0.115285362900515,0.154620463755112,0.226473236014926,0.196096795229175,0.185950949003532,0.193318804811885,0.0963973050458146,0.112737224758032,0.262673636955003,0.315037242324782,0.32414941687644,0.330049910544821,0.265770139912084,0.21487288399786,0.242652188804244,0.3411709031812,0.411186473128551,0.151037752717636,0.156278377732604,0.149417834012009,0.14212456144864,0.138253670309228,0.142343368738768,0.167200294810946,0.235464110823245,0.182111449203562,0.136264964306397,0.141120974443516,0.277028070137903,0.217517884262153,0.123920846097011,0.133230508753849,0.205307696747059,0.200251864611594,0.263622543885732,0.250553053814182,0.121673808593885,0.423132193676202,0.168575261352614,0.207508309415214,0.195047456244852
"PCG",0.232956576520457,0.182978024040756,0.318320774798398,0.269309545608625,0.136263683958533,1,0.279573682647372,0.360842879053552,0.265757565402832,0.266315878726655,0.373209630803365,0.197464097176041,0.360952834862908,0.260497408622867,0.328234098467967,0.256343047490548,0.223831154920393,0.184400993603999,0.326433515997365,0.228338229964845,0.230334342038794,0.0747107310616861,0.239693167772146,0.34742799920858,0.339404653027818,0.238443944537641,0.310493347672929,0.265189881891216,0.294706318579691,0.221883042341805,0.18351726135014,0.239162662102754,0.208657882817548,0.252554801417058,0.211672709463811,0.363197778648998,0.272903739920675,0.222826874516181,0.176209376673405,0.192378465818347,0.131359713515427,0.250680761330613,0.348257901628559,0.261738136367158,0.271641649232454,0.28020417249401,0.2425042874729,0.239929323493637,0.330712236716421,0.280821295206296,0.273712061275556,0.374653440892755,0.402169480942399,0.317536910380751,0.310502320108624,0.286633833571306,0.14608599406471,0.3556928359128,0.343471515529232,0.34279989731921,0.327096955978456,0.384981681263356,0.395921327642887,0.292573372403729,0.363925460091202,0.268312656752659,0.32449745583499,0.278056244592522,0.246294778778605,0.187733283303583,0.180579818816195,0.257161566334292,0.357334498648173,0.304388571138475,0.465320947563382,0.313279280950424,0.182322717019307,0.291451172759101,0.291656394804613,0.257685160624686,0.294798863134677,0.341030845688669,0.276343252856212,0.299161842817468,0.259877791055843,0.248040692197235,0.24740459417421,0.241008442614583,0.354657797876421,0.272479427725794
"CSGP",0.309323139445734,0.304485728308535,0.344898119091573,0.220697628905646,0.118496016037659,0.279573682647372,1,0.473190875468209,0.229431723939747,0.421920536128256,0.420815742766304,0.239698994432478,0.396938312177242,0.329649524046216,0.461065375412017,0.451300839208015,0.360526893485769,0.373461059206149,0.450250834190061,0.417367813828848,0.451148457637023,0.239235671877124,0.46573123328321,0.492208838550869,0.399625017181117,0.430749482339308,0.480109592658061,0.495528606082862,0.492472895524171,0.37781186624741,0.346511927453444,0.441866011410957,0.416273202935596,0.434960117489492,0.403954874560657,0.390962616918947,0.532342551652268,0.434140467743246,0.284724070361146,0.429065039463544,0.348091289980332,0.425489363400826,0.403166972034975,0.48675047181104,0.376571295047266,0.438960709587241,0.472850377326602,0.388902157246129,0.308169719007472,0.554068813732385,0.279581719866482,0.421679823793182,0.487883142955577,0.42270648501188,0.31322817935385,0.368010415984317,0.349043590018302,0.367800649111776,0.243954516189169,0.394446570114536,0.288831714856868,0.381252682049644,0.299190467003004,0.37686949443309,0.396040607755791,0.170110396256601,0.306331413928449,0.375739247815934,0.508727168196875,0.407456051036474,0.43959070145933,0.415715447782233,0.551126857271864,0.502953563712727,0.303905956109574,0.531695157377377,0.330524669012283,0.217766708148183,0.294482407839952,0.505680086660078,0.412345771169836,0.519987248860647,0.37331958645849,0.382267213206184,0.337007916480002,0.335273159049709,0.187233798330566,0.374995895727107,0.415302503449975,0.299720973106346
"INVH",0.342561719579048,0.2785747774706,0.429553020852168,0.338849003857763,0.194168023888449,0.360842879053552,0.473190875468209,1,0.368400848699256,0.379752517823452,0.60699627317269,0.268753220557404,0.748967589668398,0.364824958791479,0.5344819840914,0.523281461792153,0.305864155154263,0.349608642645713,0.52132794947313,0.314637174554682,0.376989710827383,0.138526082080538,0.504585884374839,0.450277723821476,0.409843644386923,0.390308369553884,0.427815010985294,0.39967514828652,0.475423229751744,0.311726199897603,0.287016197921167,0.442529706583155,0.293723000850416,0.40329198611423,0.368764675771287,0.449177936519009,0.392476308702433,0.4315733385428,0.223064139091233,0.351841134701538,0.326912189337127,0.417143811126913,0.465866825287128,0.42961230479015,0.358649895010541,0.477579937802234,0.42808241898545,0.408439501534387,0.436326642214509,0.393758327378364,0.268355100204783,0.53313390600049,0.489593471201905,0.473338818019223,0.352807909016376,0.36568847564706,0.354895040504279,0.500245304129591,0.347995748449529,0.428502554055514,0.400583241822656,0.427363969372068,0.564449006708341,0.466917270332228,0.4690977941616,0.231921826401466,0.315996637498411,0.389599866507165,0.382132736835327,0.344208900095048,0.380655352072971,0.360162555682166,0.524700808084712,0.507308564023468,0.538421350271031,0.52226399845421,0.227956229474622,0.368988650661962,0.326513356230582,0.421436570038022,0.573085894038979,0.572814700286938,0.412754286064044,0.394852544399625,0.399984055055127,0.354667520989654,0.298312624484623,0.466685834954749,0.390619031612048,0.343087396209632
"KDP",0.188627149023607,0.136223008806224,0.256759517659747,0.167550726639407,0.116902811561793,0.265757565402832,0.229431723939747,0.368400848699256,1,0.245700529172464,0.30621302449665,0.180300473624694,0.29253425286023,0.271491249399526,0.334372731082463,0.341416002836359,0.149689055757144,0.152085537309129,0.347483770227696,0.186015493354701,0.195220002016757,0.0838323688446788,0.257298343318204,0.280594702219042,0.195004952129402,0.191852979843935,0.284092771127422,0.219424232109994,0.271693398267368,0.162856118831558,0.180137011133187,0.272970354429559,0.209818316126,0.253591912470816,0.179103340084485,0.320349284437845,0.23486313851001,0.239616550612796,0.23418206065665,0.25312627226883,0.211103600567582,0.267561712665224,0.248237073802435,0.196258132245825,0.171610891910033,0.289007870848339,0.286866808263729,0.315326374918539,0.273494765203405,0.19000343800519,0.15002109921932,0.366846137792188,0.308712165038673,0.349054801526592,0.275122447311116,0.304481659197054,0.258902505002353,0.372848946288145,0.260247826103511,0.290363819572363,0.281578650652985,0.291472352303093,0.359211399221001,0.286255948073849,0.2664408312736,0.0787580265944183,0.307539486827874,0.285921148652774,0.283007223927407,0.2231646055257,0.299475637502798,0.216273960937265,0.363409743829929,0.347626180410743,0.364973224542449,0.289936560550297,0.150105616245375,0.284939149117823,0.162012233763364,0.277263865197757,0.319586285825256,0.345763953943755,0.341313711958332,0.202982597585052,0.29423035032659,0.273179680839466,0.144901572627613,0.277476121964864,0.211990069209128,0.201994211761749
"ON",0.415110266654643,0.394355350060411,0.32899906086546,0.404121079569742,0.234954793187374,0.266315878726655,0.421920536128256,0.379752517823452,0.245700529172464,1,0.45188597923483,0.307406711614746,0.305674950861261,0.202665024866425,0.502875144775488,0.337710482953912,0.454970831729629,0.373291507743907,0.367184495494678,0.443759872514689,0.412786461400828,0.212822906718156,0.452903850641668,0.524377255862349,0.55178863432309,0.458220665826743,0.821297141016524,0.693253202127375,0.56845688786477,0.457723357421556,0.470440306801483,0.401216103748176,0.427082501427529,0.724895923044733,0.332783821370473,0.484807080085451,0.430514407758663,0.340333521852197,0.228964681963511,0.362780386448612,0.360269273618546,0.363385011949048,0.55369846808578,0.444695114301737,0.475247856491157,0.339642127202719,0.559290784146468,0.478077893358656,0.286884300921127,0.448451361138081,0.433416265926869,0.486500065643004,0.579201057912273,0.427144691051506,0.223020660337075,0.280064307853118,0.271375148958495,0.40136636310689,0.349415087417135,0.507175061016199,0.472597091679705,0.519627225501797,0.188009741377259,0.362355930892342,0.520062931371822,0.349862890352392,0.37989856375602,0.252736432786087,0.56588939129173,0.432513425833646,0.207836633092602,0.479439324506334,0.547706144803209,0.426956200860146,0.209124191506133,0.500119988649645,0.287166933550249,0.25320572540314,0.483253534030973,0.556907785249554,0.253419449285183,0.520571291165588,0.467956895746891,0.556703856287977,0.346981237113222,0.310859036450506,0.379728434916111,0.503696545488271,0.527843193488391,0.267665496553623
